key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
3276836,"魔法導師武器交易",False,0,0,262723,262724,262756,262757,262758,262759,262760,262842,0,0
3276837,"能工巧匠工具交易",False,0,0,262728,262729,262762,0,0,0,0,0,0,0
3276838,"大地使者工具交易",False,0,0,262733,262734,262763,0,0,0,0,0,0,0
3276839,"再次購入特職專用裝備",False,0,0,262445,262443,262444,262951,262896,262897,262898,262899,263213,262926
3276840,"再次購入報酬",False,0,0,262446,263134,262449,262450,263045,0,0,0,0,0
3276841,"性別限定裝備交易",False,0,0,1769513,1769688,1769512,1769687,0,0,0,0,0,0
3276842,"特殊商品交易",False,0,0,1769753,1769607,1769610,1769988,1769989,1770475,1770756,0,0,0
3276843,"",False,0,0,721154,721343,0,0,0,0,0,0,0,0
3276844,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276845,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276846,"工具交易",False,0,0,262911,262912,262913,0,0,0,0,0,0,0
3276847,"防具交易",False,0,0,262914,262915,262916,0,0,0,0,0,0,0
3276848,"再次購入季節活動報酬",False,0,0,262626,262627,262628,262629,262630,262631,262632,262633,262634,0
3276849,"再次購入成就報酬",False,0,0,262449,262450,263045,0,0,0,0,0,0,0
3276850,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276851,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276852,"解放軍的票據交易（350→360品級·普通品質）",False,0,0,1769891,1769892,1769893,1769888,1769885,1769889,1769886,1769890,1769887,0
3276853,"解放軍的票據交易（350→360品級·優質）",False,0,0,1769894,1769895,1769896,1769888,1769885,1769889,1769886,1769890,1769887,0
3276854,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276855,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276856,"羅剎的票據交易（380→390品級）",False,0,0,1769947,1769948,1769949,1769944,1769941,1769945,1769942,1769946,1769943,0
3276857,"戰鬥精英防具交易",False,0,0,3538969,3538970,3538976,3538977,3538978,0,0,0,0,0
3276858,"魔法導師防具交易",False,0,0,3538979,3538980,3538981,3538982,3538983,0,0,0,0,0
3276859,"巧手工票交易",False,0,0,3539004,3539008,3538996,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276860,"大地工票交易",False,0,0,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276861,"巧手工票交易",False,0,0,3539004,3539008,3538997,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276862,"大地工票交易",False,0,0,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276863,"巧手工票交易",False,0,0,3539004,3539008,3538998,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276864,"大地工票交易",False,0,0,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276865,"巧手工票交易",False,0,0,3539004,3539008,3538999,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276866,"大地工票交易",False,0,0,3539021,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276867,"巧手工票交易",False,0,0,3539005,3539008,3539000,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276868,"大地工票交易",False,0,0,3539022,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276869,"巧手工票交易",False,0,0,3539006,3539008,3539001,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276870,"大地工票交易",False,0,0,3539023,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276871,"巧手工票交易",False,0,0,3539007,3539009,3539003,3539011,3539013,3539017,3539018,3539019,3539055,3539020
3276872,"大地工票交易",False,0,0,3539024,3539026,3539028,3539030,3539034,3539035,3539036,3539056,3539037,0
3276873,"巧手工票交易",False,0,0,3539006,3539008,3539002,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276874,"大地工票交易",False,0,0,3539023,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276875,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276876,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276877,"中庸強化裝備交易（450→460品級）",False,0,0,1770025,1770026,1770027,1770022,1770019,1770023,1770020,1770024,1770021,0
3276878,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276879,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276880,"伊修加爾德新型強化裝備交易（480→490品級）",False,0,0,1770294,1770295,1770296,1770291,1770288,1770292,1770289,1770293,1770290,0
3276881,"巧手工票交易",False,0,0,3539005,3539008,3539050,3539010,3539012,3539016,3539018,3539019,3539055,3539020
3276882,"大地工票交易",False,0,0,3539022,3539025,3539027,3539029,3539033,3539035,3539036,3539056,3539037,0
3276883,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276884,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276885,"總督強化裝備交易（510→520品級）",False,0,0,1770351,1770352,1770353,1770348,1770345,1770349,1770346,1770350,1770347,0
3276886,"戰鬥精英防具交易",False,0,0,263089,263090,263091,263092,263093,263094,0,0,0,0
3276887,"魔法導師防具交易",False,0,0,263095,263096,263097,263098,263099,263100,0,0,0,0
3276888,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276889,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276890,"古典風格強化裝備交易（580→590品級）",False,0,0,1770545,1770546,1770547,1770542,1770539,1770543,1770540,1770544,1770541,0
3276891,"守護者裝備交易（戰鬥精英2）",False,0,0,262682,262683,262684,263138,0,0,0,0,0,0
3276892,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276893,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276894,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276895,"復興強化裝備交易（610→620品級）",False,0,0,1770656,1770657,1770658,1770653,1770650,1770654,1770651,1770655,1770652,0
3276896,"希拉狄哈古董交易",False,0,0,1770621,1770622,1770623,0,0,0,0,0,0,0
3276897,"六根山古董交易",False,0,0,1770663,1770664,1770665,0,0,0,0,0,0,0
3276898,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276899,"繼業者強化裝備交易（640→650品級）",False,0,0,1770720,1770721,1770722,1770717,1770714,1770718,1770715,1770719,1770716,0
3276900,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276901,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276902,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276903,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276904,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276905,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276906,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276907,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276908,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276909,"戈耳狄斷章（210品級）",False,0,0,1769581,1769606,1769582,0,0,0,0,0,0,0
3276910,"彌達斯斷章（240-245品級）",False,0,0,1769646,1769647,1769648,0,0,0,0,0,0,0
3276911,"亞歷山大斷章（270-275品級）",False,0,0,1769692,1769693,1769694,0,0,0,0,0,0,0
3276912,"德爾塔組件（320品級）",False,0,0,1769793,1769794,1769795,0,0,0,0,0,0,0
3276913,"德爾塔戰鬥記錄（340-345品級）",False,0,0,1769796,1769797,1769798,0,0,0,0,0,0,0
3276914,"西格瑪組件（350品級）",False,0,0,1769855,1769856,1769857,0,0,0,0,0,0,0
3276915,"西格瑪戰鬥記錄（370-375品級）",False,0,0,1769858,1769859,1769860,0,0,0,0,0,0,0
3276916,"阿爾法組件（380品級）",False,0,0,1769917,1769918,1769919,0,0,0,0,0,0,0
3276917,"阿爾法戰鬥記錄（400-405品級）",False,0,0,1769920,1769921,1769922,0,0,0,0,0,0,0
3276918,"古舊的覺醒裝備（450品級）",False,0,0,1769977,1769978,1769979,0,0,0,0,0,0,0
3276919,"覺醒的斷章（470-475品級）",False,0,0,1769980,1769981,1769982,0,0,0,0,0,0,0
3276920,"古舊的共鳴裝備（480品級）",False,0,0,1770058,1770059,1770060,0,0,0,0,0,0,0
3276921,"共鳴的斷章（500-505品級）",False,0,0,1770061,1770062,1770063,0,0,0,0,0,0,0
3276922,"古舊的再生裝備（510品級）",False,0,0,1770326,1770327,1770328,0,0,0,0,0,0,0
3276923,"再生的斷章（530-535品級）",False,0,0,1770329,1770330,1770331,0,0,0,0,0,0,0
3276924,"腐朽的邊境裝備（580品級）",False,0,0,1770440,1770441,1770442,0,0,0,0,0,0,0
3276925,"邊境的斷章（600-605品級）",False,0,0,1770443,1770444,1770445,0,0,0,0,0,0,0
3276926,"腐朽的煉淨裝備（610品級）",False,0,0,1770608,1770609,1770610,0,0,0,0,0,0,0
3276927,"煉淨的斷章（630-635品級）",False,0,0,1770611,1770612,1770613,0,0,0,0,0,0,0
3276928,"腐朽的荒天裝備（640品級）",False,0,0,1770693,1770694,1770695,0,0,0,0,0,0,0
3276929,"荒天的斷章（660-665品級）",False,0,0,1770696,1770697,1770698,0,0,0,0,0,0,0
3276930,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276931,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276932,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276933,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276934,"強化亞拉戈失傳裝備（330→340品級）",False,0,0,1769799,1769800,1769801,0,0,0,0,0,0,0
3276935,"強化龍脈裝備（360→370品級）",False,0,0,1769861,1769862,1769863,0,0,0,0,0,0,0
3276936,"強化斯卡艾瓦裝備（390→400品級）",False,0,0,1769911,1769912,1769913,0,0,0,0,0,0,0
3276937,"強化影淵裝備（460→470品級）",False,0,0,1769984,1769985,1769986,0,0,0,0,0,0,0
3276938,"強化水晶石裝備（490→500品級）",False,0,0,1770055,1770056,1770057,0,0,0,0,0,0,0
3276939,"強化聖堂潛行裝備（520→530品級）",False,0,0,1770323,1770324,1770325,0,0,0,0,0,0,0
3276940,"強化星戰士裝備（590→600品級）",False,0,0,1770447,1770448,1770449,0,0,0,0,0,0,0
3276941,"強化月使裝備（620→630品級）",False,0,0,1770615,1770616,1770617,0,0,0,0,0,0,0
3276942,"強化信條裝備（650→660品級）",False,0,0,1770700,1770701,1770702,0,0,0,0,0,0,0
3276943,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276944,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276945,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276946,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276947,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276948,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276949,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276950,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276951,"",False,0,0,0,0,0,0,0,0,0,0,0,0
